Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
386,Matt Olson*,29,ATL,NL,65,293,246,46,56,10,1,18,45,1,0,44,87,.228,.348,.496,.844,125,122,5,2,0,1,2,*3,olsonma02
387,Joey Ortiz,24,BAL,AL,11,28,27,4,7,1,0,0,4,0,0,0,7,.259,.250,.296,.546,53,8,1,0,0,1,0,/456H,ortizjo06
388,James Outman*,26,LAD,NL,61,220,189,33,44,9,3,9,30,7,1,23,77,.233,.332,.455,.787,110,86,0,6,0,2,1,*87/H9D,outmaja01
389,Chris Owings,31,PIT,NL,10,25,25,0,4,0,0,0,0,0,0,0,12,.160,.160,.160,.320,-11,4,1,0,0,0,0,6/81,owingch01
390,Marcell Ozuna,32,ATL,NL,50,198,178,25,43,6,0,13,29,0,0,20,45,.242,.318,.494,.813,115,88,4,0,0,0,1,*D/7H,ozunama01
391,Cristian Pache,24,PHI,NL,18,26,25,2,9,3,0,1,4,0,0,0,6,.360,.360,.600,.960,159,15,1,0,1,0,0,7/8H,pachecr01
392,Josh Palacios*,27,PIT,NL,17,45,41,3,11,1,1,1,7,1,0,3,7,.268,.333,.415,.748,105,17,2,1,0,0,0,9/7HD,palacjo01
393,Isaac Paredes,24,TBR,AL,59,221,196,31,51,11,0,11,45,0,0,17,41,.260,.344,.485,.829,133,95,3,8,0,0,0,*53/H4,paredis01
394,Vinnie Pasquantino*,25,KCR,AL,61,260,231,24,57,17,0,9,26,0,0,25,31,.247,.324,.437,.762,109,101,7,2,0,1,2,*3D/H,pasquvi01
395,Joc Pederson*,31,SFG,NL,32,123,103,18,29,4,1,7,24,0,0,17,26,.282,.390,.544,.934,154,56,3,2,0,1,1,D/H,pederjo01
396,Jeremy Peña,25,HOU,AL,63,268,246,36,62,16,1,8,26,6,6,13,61,.252,.307,.423,.730,100,104,1,7,0,1,0,*6,penaje02
397,David Peralta*,35,LAD,NL,52,158,149,12,39,7,1,3,23,1,1,7,26,.262,.291,.383,.674,80,57,1,0,0,2,0,*7/HD9,peralda01
398,Oswald Peraza,23,NYY,AL,12,38,32,4,6,1,0,0,3,2,1,3,6,.188,.316,.219,.535,53,7,1,3,0,0,0,/54HD6,perazos02
399,Geraldo Perdomo#,23,ARI,NL,50,173,144,27,42,9,1,5,29,6,2,22,31,.292,.396,.472,.869,139,68,1,3,4,0,1,6/4H5,perdoge01
400,Carlos Pérez,32,OAK,AL,33,102,90,10,22,2,0,3,11,0,0,9,22,.244,.314,.367,.680,96,33,1,1,0,2,0,2/DH317,perezca02
401,Carlos Pérez,26,CHW,AL,3,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,39,1,1,0,0,0,0,/DH,perezca03
402,Cionel Pérez,27,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,perezci01
403,Michael Perez*,30,NYM,NL,2,7,7,1,4,1,0,0,0,0,0,0,1,.571,.571,.714,1.286,258,5,0,0,0,0,0,/2,perezmi03
404,Roberto Pérez,34,SFG,NL,5,17,15,0,2,0,0,0,1,0,0,2,6,.133,.235,.133,.369,6,2,0,0,0,0,0,/2,perezro02
405,Salvador Perez,33,KCR,AL,59,247,231,30,63,14,0,13,36,0,0,8,54,.273,.308,.502,.810,120,116,6,5,0,3,3,*2D/3,perezsa02
406,Blake Perkins#,26,MIL,NL,18,34,30,5,6,1,0,1,7,1,1,2,8,.200,.250,.333,.583,60,10,0,0,2,0,0,9/H78D,perkibl01
407,Jace Peterson*,33,OAK,AL,57,202,175,20,39,3,1,5,20,8,1,24,50,.223,.322,.337,.659,91,59,5,2,0,1,1,*54/HD71,peterja01
408,Tommy Pham,35,NYM,NL,45,132,114,13,28,8,1,6,22,6,1,15,31,.246,.326,.491,.817,125,56,1,0,0,3,1,7DH/8,phamth01
409,Brett Phillips*,29,LAA,AL,19,16,13,3,1,0,0,0,2,3,0,3,8,.077,.250,.077,.327,-3,1,0,0,0,0,0,/H87D19,phillbr02
410,Kevin Pillar,34,ATL,NL,34,93,88,14,24,5,0,6,14,3,0,4,22,.273,.301,.534,.835,119,47,0,0,0,1,0,7H/89,pillake01
411,Nick Pivetta,30,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,pivetni01
412,Jorge Polanco#,29,MIN,AL,30,127,120,11,30,9,0,5,16,1,0,7,29,.250,.291,.450,.741,104,54,1,0,0,0,0,4/D,polanjo01
413,AJ Pollock,35,SEA,AL,36,109,98,13,17,3,0,4,13,0,1,9,23,.173,.239,.327,.565,60,32,1,0,0,2,0,D7/H,polloaj01
414,Nick Pratto*,24,KCR,AL,40,160,139,19,40,9,0,4,17,1,1,17,57,.288,.375,.439,.814,125,61,1,3,0,1,0,37/9H,prattni01
415,Jurickson Profar#,30,COL,NL,59,262,229,27,55,14,2,5,25,0,0,28,47,.240,.322,.384,.706,83,88,8,1,0,3,0,*7/DH,profaju01
416,Cole Ragans*,25,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,raganco01
417,Cal Raleigh#,26,SEA,AL,55,213,191,27,40,10,1,8,26,0,0,22,56,.209,.291,.398,.689,95,76,1,0,0,0,1,*2/DH,raleica01
418,Luke Raley*,28,TBR,AL,50,165,144,29,37,10,2,11,26,7,1,12,51,.257,.345,.583,.929,158,84,1,8,0,1,0,397/HD1,raleylu01
419,Harold Ramírez,28,TBR,AL,51,194,180,28,55,9,1,9,30,4,1,12,39,.306,.351,.517,.867,143,93,1,1,0,1,0,D/7H39,ramirha02
420,José Ramírez#,30,CLE,AL,61,273,241,37,67,18,2,10,38,5,3,28,24,.278,.348,.494,.842,134,119,5,0,0,4,11,*5/D,ramirjo01
421,Heliot Ramos,23,SFG,NL,9,27,26,1,5,2,0,0,1,0,0,1,8,.192,.222,.269,.491,35,7,1,0,0,0,0,/798H,ramoshe02
422,Henry Ramos#,31,CIN,NL,18,73,62,8,15,2,1,0,4,2,1,10,15,.242,.356,.306,.663,79,19,2,1,0,0,0,/9D7,ramoshe01
423,J.T. Realmuto,32,PHI,NL,58,225,207,20,50,16,3,5,21,9,3,11,53,.242,.289,.420,.709,93,87,4,4,0,3,0,*2/H,realmjt01
424,Rob Refsnyder,32,BOS,AL,39,111,89,13,25,5,0,1,18,3,0,18,23,.281,.423,.371,.794,119,33,4,4,0,0,0,7H/8D9,refsnro01
425,Anthony Rendon,33,LAA,AL,34,145,116,21,32,5,0,1,20,2,0,20,17,.276,.393,.345,.738,107,40,3,5,0,4,0,5,rendoan01
426,Hunter Renfroe,31,LAA,AL,60,254,234,32,58,13,0,11,31,0,0,18,54,.248,.299,.444,.744,102,104,9,0,0,2,0,*9/H,renfrhu01
427,Luis Rengifo#,26,LAA,AL,55,178,158,25,35,4,0,4,20,5,2,17,33,.222,.303,.323,.626,74,51,3,2,0,1,0,4/5H6798,rengilu01
428,Franmil Reyes,27,KCR,AL,19,65,59,5,11,0,0,2,7,0,0,4,24,.186,.231,.288,.519,43,17,3,0,0,2,0,D/7H9,reyesfr01
429,Pablo Reyes,29,BOS,AL,19,52,48,4,13,3,0,0,6,1,1,3,7,.271,.314,.333,.647,76,16,0,0,1,0,0,4/6H51,reyespa01
430,Bryan Reynolds#,28,PIT,NL,61,265,232,34,65,18,3,7,38,8,0,25,48,.280,.351,.474,.825,125,110,8,3,0,5,0,*7/8DH,reynobr01
431,Matt Reynolds,32,CIN,NL,2,5,5,1,1,0,0,0,0,0,0,0,3,.200,.200,.200,.400,7,1,0,0,0,0,0,/53,reynoma03
